Subset,Image,Model,CIEDE2000,Delta_uv_prime,Duv,EML,BlueEnergyPerPixel
screenshot,screenshot_10.png,original,0,0,0,253.2380,137247.607833
screenshot,screenshot_11.png,original,0,0,0,208.2174,157677.874905
screenshot,screenshot_12.png,original,0,0,0,263.3029,205832.092751
screenshot,screenshot_13.png,original,0,0,0,228.1422,217658.472665
screenshot,screenshot_14.png,original,0,0,0,177.1256,93965.890961
screenshot,screenshot_15.png,original,0,0,0,265.8954,18266.243900
screenshot,screenshot_16.png,original,0,0,0,154.7835,155017.209943
screenshot,screenshot_17.png,original,0,0,0,282.9719,65740.658658
screenshot,screenshot_18.png,original,0,0,0,225.7054,79257.008682
screenshot,screenshot_1.png,original,0,0,0,212.0923,317170.580915
screenshot,screenshot_2.png,original,0,0,0,251.3765,3872.968142
screenshot,screenshot_3.png,original,0,0,0,264.2852,9291.425925
screenshot,screenshot_4.png,original,0,0,0,523.5541,24569.190436
screenshot,screenshot_5.png,original,0,0,0,241.3328,104189.728538
screenshot,screenshot_6.png,original,0,0,0,266.9933,193220.463290
screenshot,screenshot_7.png,original,0,0,0,279.6233,103853.159557
screenshot,screenshot_8.png,original,0,0,0,218.2309,328444.240974
screenshot,screenshot_9.png,original,0,0,0,205.7748,5730.968578
camera,camera_0.png,pure_transform_2700k,20.5951,0.0911,-0.0025,99.2316,18272.585203
